id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta
10758473BAEcobici,591,2021-04-10 20:38:24 UTC,2BAEcobici,002 - Retiro I,"Ramos Mejia Jose MariaDr. Av. & Del Libertador Av.",-58.3747151,-34.5924233,2021-04-10 20:48:15 UTC,95BAEcobici,095 - ESMERALDA,ESMERALDA 516,-58.3781678,-34.6021121,86840BAEcobici,ICONIC
10757803BAEcobici,1321,2021-04-10 16:34:08 UTC,2BAEcobici,002 - Retiro I,"Ramos Mejia Jose Maria Dr. Av. & Del Libertador Av.",-58.3747151,-34.5924233,2021-04-10 16:56:09 UTC,73BAEcobici,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,-58.3718235,-34.6306814,52860BAEcobici,ICONIC
10756603BAEcobici,380,2021-04-10 07:06:00 UTC,3BAEcobici,003 - ADUANA,Moreno & Av Paseo Colon,-58.3682604,-34.611032,2021-04-10 07:12:20 UTC,150BAEcobici,150 - RODRIGO BUENO,Av. España 2200,-58.3554654,-34.6187547,375594BAEcobici,ICONIC
10756618BAEcobici,1436,2021-04-10 07:25:08 UTC,4BAEcobici,004 - Plaza Roma,Lavalle & Bouchard,-58.368781,-34.601822,2021-04-10 07:49:04 UTC,353BAEcobici,237 - Madero Office,"367 Sanchez De Thompson, Mariquita",-58.364695,-34.599036,489972BAEcobici,ICONIC
10757830BAEcobici,3736,2021-04-10 16:45:01 UTC,4BAEcobici,004 - Plaza Roma,Lavalle & Bouchard,-58.368781,-34.601822,2021-04-10 17:47:17 UTC,207BAEcobici,123 - BASUALDO Y RODO,Basualdo 1218,-58.4926339870569,-34.649323859081555,77965BAEcobici,ICONIC
10757832BAEcobici,3681,2021-04-10 16:45:11 UTC,4BAEcobici,004 - Plaza Roma,Lavalle & Bouchard,-58.368781,-34.601822,2021-04-10 17:46:32 UTC,207BAEcobici,123 - BASUALDO Y RODO,Basualdo 1218,-58.4926339870569,-34.649323859081555,764009BAEcobici,ICONIC
10757829BAEcobici,3713,2021-04-10 16:44:39 UTC,4BAEcobici,004 - Plaza Roma,Lavalle & Bouchard,-58.368781,-34.601822,2021-04-10 17:46:32 UTC,207BAEcobici,123 - BASUALDO Y RODO,Basualdo 1218,-58.4926339870569,-34.649323859081555,761492BAEcobici,ICONIC
10757960BAEcobici,250,2021-04-10 17:17:04 UTC,4BAEcobici,004 - Plaza Roma,Lavalle & Bouchard,-58.368781,-34.601822,2021-04-10 17:21:14 UTC,26BAEcobici,026 - JUANA MANSO I,"Manso Juana & De La Barra, Emma",-58.3638723,-34.600752,728814BAEcobici,ICONIC
10758607BAEcobici,575,2021-04-10 21:52:49 UTC,6BAEcobici,006 - Parque Lezama,"Avenida Martin Garcia 295",-58.369758,-34.628526,2021-04-10 22:02:24 UTC,179BAEcobici,179 - CASA SAN,Olavarría 811,-58.3642885,-34.6384786,53916BAEcobici,ICONIC
10757608BAEcobici,1154,2021-04-10 15:36:07 UTC,6BAEcobici,006 - Parque Lezama,"Avenida Martin Garcia 295",-58.369758,-34.628526,2021-04-10 15:55:21 UTC,23BAEcobici,023 - Suipacha,Suipacha & Viamonte,-58.379836,-34.600139,683787BAEcobici,ICONIC
10757195BAEcobici,812,2021-04-10 12:07:00 UTC,6BAEcobici,006 - Parque Lezama,"Avenida Martin Garcia 295",-58.369758,-34.628526,2021-04-10 12:20:32 UTC,153BAEcobici,153 - JUAN MANUEL DE BLANES,"383 Blanes, Juan Manuel",-58.3620701,-34.6307765,177194BAEcobici,ICONIC
10757198BAEcobici,696,2021-04-10 12:08:43 UTC,6BAEcobici,006 - Parque Lezama,"Avenida Martin Garcia 295",-58.369758,-34.628526,2021-04-10 12:20:19 UTC,153BAEcobici,153 - JUAN MANUEL DE BLANES,"383 Blanes, Juan Manuel",-58.3620701,-34.6307765,174731BAEcobici,ICONIC
10756836BAEcobici,873,2021-04-10 09:39:10 UTC,6BAEcobici,006 - Parque Lezama,"Avenida Martin Garcia 295",-58.369758,-34.628526,2021-04-10 09:53:43 UTC,175BAEcobici,147 - Constitución,Avenida Juan de Garay 1050,-58.380707,-34.626851,673290BAEcobici,ICONIC
10758021BAEcobici,855,2021-04-10 17:36:50 UTC,6BAEcobici,006 - Parque Lezama,"Avenida Martin Garcia 295",-58.369758,-34.628526,2021-04-10 17:51:05 UTC,95BAEcobici,095 - ESMERALDA,ESMERALDA 516,-58.3781678,-34.6021121,591287BAEcobici,ICONIC
10758510BAEcobici,1053,2021-04-10 20:51:15 UTC,7BAEcobici,007 - OBELISCO,CARLOS PELEGRINI 215,-58.381098,-34.606498,2021-04-10 21:08:48 UTC,86BAEcobici,086 - SAAVEDRA,1019 Saavedra,-58.4016808,-34.6212681,755263BAEcobici,ICONIC
10756816BAEcobici,1673,2021-04-10 09:30:37 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 09:58:30 UTC,441BAEcobici,016 - Legislatura,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",-58.3748,-34.609801,733465BAEcobici,ICONIC
10756657BAEcobici,428,2021-04-10 07:45:39 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 07:52:47 UTC,35BAEcobici,035 - INGENIERO BUTTY,Ing. E. Butty 291,-58.371847,-34.5964246,314800BAEcobici,ICONIC
10757345BAEcobici,641,2021-04-10 13:40:24 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 13:51:05 UTC,200BAEcobici,200 - AUSTRIA Y FRENCH,Austria 2075,-58.405361700000007,-34.5890696,117060BAEcobici,ICONIC
10757408BAEcobici,2614,2021-04-10 14:11:47 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 14:55:21 UTC,117BAEcobici,117 - HUMBERTO 1°,Peru  1016,-58.3741759,-34.6201008,672777BAEcobici,ICONIC
10758461BAEcobici,239,2021-04-10 20:30:54 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 20:34:53 UTC,189BAEcobici,189 - POSADAS,1350 Posadas,-58.3852113,-34.5886889,224035BAEcobici,ICONIC
10758127BAEcobici,1341,2021-04-10 18:13:59 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 18:36:20 UTC,161BAEcobici,161 - Humahuaca,3912 Humahuaca,-58.4196761,-34.6020779,2856BAEcobici,ICONIC
10758130BAEcobici,2668,2021-04-10 18:14:47 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 18:59:15 UTC,275BAEcobici,256 - PLAZA NORUEGA,Amenabar y Mendoza,-58.459148,-34.562396,63303BAEcobici,ICONIC
10757241BAEcobici,1695,2021-04-10 12:42:01 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 13:10:16 UTC,203BAEcobici,108 - Usina del Arte,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",-58.356259,-34.628757,190243BAEcobici,ICONIC
10757474BAEcobici,1042,2021-04-10 14:39:14 UTC,12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-58.388807,-34.5927096,2021-04-10 14:56:36 UTC,5BAEcobici,005 - Plaza Italia,Av. Sarmiento 2601,-58.4209542,-34.5805497,296021BAEcobici,ICONIC
10757210BAEcobici,1041,2021-04-10 12:15:22 UTC,13BAEcobici,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,2021-04-10 12:32:43 UTC,96BAEcobici,096 - Carlos Gardel,3302 Guardia Vieja & Aguero,-58.4116586,-34.6027814,87481BAEcobici,ICONIC
10756724BAEcobici,1255,2021-04-10 08:38:25 UTC,13BAEcobici,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,2021-04-10 08:59:20 UTC,66BAEcobici,066 - Billinghurst,3508 Carcova,-58.4138713,-34.5945475,763324BAEcobici,ICONIC
10757700BAEcobici,2712,2021-04-10 16:05:28 UTC,13BAEcobici,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,2021-04-10 16:50:40 UTC,364BAEcobici,381 - Matienzo Y Arce,"1798 Matienzo, Benjamin, Teniente",-58.43447,-34.568693,723366BAEcobici,ICONIC
10757574BAEcobici,920,2021-04-10 15:23:44 UTC,21BAEcobici,021 - Parque Patricios,Iguazu & Uspallata,-58.406432,-34.640111,2021-04-10 15:39:04 UTC,86BAEcobici,086 - SAAVEDRA,1019 Saavedra,-58.4016808,-34.6212681,46953BAEcobici,ICONIC
10756171BAEcobici,1433,2021-04-10 00:52:54 UTC,22BAEcobici,022 - Arenales,Cerrito & Arenales,-58.3825498,-34.5938629,2021-04-10 01:16:47 UTC,212BAEcobici,129 - Velasco,J.Ramirez de Velasco 285,-58.434875,-34.600275,9845BAEcobici,ICONIC
10758415BAEcobici,1941,2021-04-10 20:07:53 UTC,22BAEcobici,022 - Arenales,Cerrito & Arenales,-58.3825498,-34.5938629,2021-04-10 20:40:14 UTC,22BAEcobici,022 - Arenales,Cerrito & Arenales,-58.3825498,-34.5938629,699929BAEcobici,ICONIC
10756761BAEcobici,1958,2021-04-10 08:57:10 UTC,22BAEcobici,022 - Arenales,Cerrito & Arenales,-58.3825498,-34.5938629,2021-04-10 09:29:48 UTC,14BAEcobici,014 - Pacifico,"Santa Fe Av. & Bullrich, Int. Av.",-58.426387,-34.577424,42147BAEcobici,ICONIC
10757136BAEcobici,270,2021-04-10 11:22:41 UTC,22BAEcobici,022 - Arenales,Cerrito & Arenales,-58.3825498,-34.5938629,2021-04-10 11:27:11 UTC,51BAEcobici,051 - TUCUMAN,Tucuman & 9 De Julio Av.,-58.3821261,-34.6014776,705953BAEcobici,ICONIC
10757702BAEcobici,2776,2021-04-10 16:05:41 UTC,22BAEcobici,022 - Arenales,Cerrito & Arenales,-58.3825498,-34.5938629,2021-04-10 16:51:57 UTC,355BAEcobici,242 - Plazoleta Rafael del Riego,o´higins 1327,-58.446381,-34.567483,262888BAEcobici,ICONIC
10757706BAEcobici,651,2021-04-10 16:07:05 UTC,23BAEcobici,023 - Suipacha,Suipacha & Viamonte,-58.379836,-34.600139,2021-04-10 16:17:56 UTC,7BAEcobici,007 - OBELISCO,CARLOS PELEGRINI 215,-58.381098,-34.606498,733530BAEcobici,ICONIC
10757728BAEcobici,8653,2021-04-10 16:12:52 UTC,23BAEcobici,023 - Suipacha,Suipacha & Viamonte,-58.379836,-34.600139,2021-04-10 18:37:05 UTC,166BAEcobici,166 - Cementerio de Recoleta,Vicente López 2100,-58.394147942865644,-34.588346663239754,761152BAEcobici,ICONIC
10757749BAEcobici,2545,2021-04-10 16:18:45 UTC,23BAEcobici,023 - Suipacha,Suipacha & Viamonte,-58.379836,-34.600139,2021-04-10 17:01:10 UTC,166BAEcobici,166 - Cementerio de Recoleta,Vicente López 2100,-58.394147942865644,-34.588346663239754,764014BAEcobici,ICONIC
10757238BAEcobici,1815,2021-04-10 12:39:14 UTC,24BAEcobici,024 - ALSINA,Adolfo Alsina& Bernardo De Irigoyen,-58.3808943,-34.610583,2021-04-10 13:09:29 UTC,291BAEcobici,244 - UADE,Lima 750,-58.381627,-34.617247,684421BAEcobici,ICONIC
10758189BAEcobici,568,2021-04-10 18:37:05 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 18:46:33 UTC,165BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,-58.407614,-34.597048,760106BAEcobici,ICONIC
10756048BAEcobici,760,2021-04-10 00:07:42 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 00:20:22 UTC,93BAEcobici,093 - CARLOS CALVO,Sarandi 1010,-58.3944635,-34.620798,118609BAEcobici,ICONIC
10757281BAEcobici,625,2021-04-10 13:15:48 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 13:26:13 UTC,165BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,-58.407614,-34.597048,592715BAEcobici,ICONIC
10756053BAEcobici,935,2021-04-10 00:09:01 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 00:24:36 UTC,17BAEcobici,017 - Plaza Almagro,"441 Bulnes & Peron, Juan Domingo, Tte. General",-58.4187306,-34.6064101,32446BAEcobici,ICONIC
10756080BAEcobici,1468,2021-04-10 00:15:25 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 00:39:53 UTC,69BAEcobici,069 - Ecuador,"1226 Ecuador & Mansilla, Lucio Norberto, General",-58.4046092,-34.5961006,717055BAEcobici,ICONIC
10756694BAEcobici,2161,2021-04-10 08:16:57 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 08:52:58 UTC,242BAEcobici,103 - MALBA,3051 San Martin De Tours,-58.403214,-34.57716,631659BAEcobici,ICONIC
10756680BAEcobici,499,2021-04-10 08:06:17 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 08:14:36 UTC,69BAEcobici,069 - Ecuador,"1226 Ecuador & Mansilla, Lucio Norberto, General",-58.4046092,-34.5961006,668697BAEcobici,ICONIC
10757732BAEcobici,1843,2021-04-10 16:14:26 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-10 16:45:09 UTC,281BAEcobici,350 - Plaza Irlanda,Av. Gaona 2200,-58.458315,-34.613778,733429BAEcobici,ICONIC
10758725BAEcobici,1147,2021-04-10 23:52:40 UTC,27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2021-04-11 00:11:47 UTC,186BAEcobici,186 - MANZANA 66,2875 Moreno,-58.4064415,-34.6136356,667374BAEcobici,ICONIC
10756734BAEcobici,325,2021-04-10 08:42:17 UTC,32BAEcobici,032 - Catedral,67 San Martin,-58.3735984,-34.6072074,2021-04-10 08:47:42 UTC,111BAEcobici,111 - MACACHA GUEMES,Machaca Guemes 350,-58.3646858,-34.6054877,12490BAEcobici,ICONIC
10756773BAEcobici,1010,2021-04-10 09:03:46 UTC,35BAEcobici,035 - INGENIERO BUTTY,Ing. E. Butty 291,-58.371847,-34.5964246,2021-04-10 09:20:36 UTC,200BAEcobici,200 - AUSTRIA Y FRENCH,Austria 2075,-58.405361700000007,-34.5890696,314800BAEcobici,ICONIC
10756613BAEcobici,729,2021-04-10 07:21:04 UTC,38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828403,-34.5970497,2021-04-10 07:33:13 UTC,111BAEcobici,111 - MACACHA GUEMES,Machaca Guemes 350,-58.3646858,-34.6054877,316537BAEcobici,ICONIC
10757516BAEcobici,2007,2021-04-10 14:59:19 UTC,38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828403,-34.5970497,2021-04-10 15:32:46 UTC,38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828403,-34.5970497,79768BAEcobici,ICONIC
10757587BAEcobici,2765,2021-04-10 15:30:40 UTC,38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828403,-34.5970497,2021-04-10 16:16:45 UTC,220BAEcobici,097 - Avelino Diaz,Avelino Diaz&Doblas,-58.427573,-34.635128,755307BAEcobici,ICONIC
10757980BAEcobici,2799,2021-04-10 17:23:30 UTC,38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828403,-34.5970497,2021-04-10 18:10:09 UTC,38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828403,-34.5970497,428945BAEcobici,ICONIC
10758274BAEcobici,1081,2021-04-10 19:15:29 UTC,38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828403,-34.5970497,2021-04-10 19:33:30 UTC,59BAEcobici,018 - Independencia,Idependencia y Bernardo de Irigoyen,-58.380565,-34.617654,709075BAEcobici,ICONIC
10756889BAEcobici,533,2021-04-10 09:54:21 UTC,41BAEcobici,041 - Urquiza y Rondeau,"Urquiza, Gral. & Rondeau",-58.4076348,-34.6364511,2021-04-10 10:03:14 UTC,146BAEcobici,146 - Hospital Francés,"3024 Calvo, Carlos",-58.4078419,-34.6221118,385668BAEcobici,ICONIC
10757349BAEcobici,1564,2021-04-10 13:42:02 UTC,41BAEcobici,041 - Urquiza y Rondeau,"Urquiza, Gral. & Rondeau",-58.4076348,-34.6364511,2021-04-10 14:08:06 UTC,288BAEcobici,333 - MIRO,1684 Miro,-58.4429517,-34.6404886,205676BAEcobici,ICONIC
10756206BAEcobici,483,2021-04-10 01:16:32 UTC,43BAEcobici,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,-58.389921,-34.584018,2021-04-10 01:24:35 UTC,114BAEcobici,114 - DELLA PAOLERA,"Della Paolera 297, Carlos M. & Av. Leandro N. Alem",-58.3722554,-34.5949745,324386BAEcobici,ICONIC
10758140BAEcobici,2226,2021-04-10 18:20:12 UTC,43BAEcobici,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,-58.389921,-34.584018,2021-04-10 18:57:18 UTC,14BAEcobici,014 - Pacifico,"Santa Fe Av. & Bullrich, Int. Av.",-58.426387,-34.577424,764024BAEcobici,ICONIC
10758142BAEcobici,1385,2021-04-10 18:20:26 UTC,43BAEcobici,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,-58.389921,-34.584018,2021-04-10 18:43:31 UTC,189BAEcobici,189 - POSADAS,1350 Posadas,-58.3852113,-34.5886889,57721BAEcobici,ICONIC
10758227BAEcobici,2590,2021-04-10 18:53:12 UTC,43BAEcobici,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,-58.389921,-34.584018,2021-04-10 19:36:22 UTC,182BAEcobici,182 - RAVIGNANI Y GUATEMALA,"2185 Ravignani, Emilio, Dr. & Guatemala",-58.4352466,-34.5780479,761152BAEcobici,ICONIC
10758230BAEcobici,2465,2021-04-10 18:53:25 UTC,43BAEcobici,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,-58.389921,-34.584018,2021-04-10 19:34:30 UTC,182BAEcobici,182 - RAVIGNANI Y GUATEMALA,"2185 Ravignani, Emilio, Dr. & Guatemala",-58.4352466,-34.5780479,764014BAEcobici,ICONIC
10757209BAEcobici,1141,2021-04-10 12:15:13 UTC,45BAEcobici,045 - Uruguay,561 Uruguay & Av. Tucuman,-58.3866934,-34.6018635,2021-04-10 12:34:14 UTC,212BAEcobici,129 - Velasco,J.Ramirez de Velasco 285,-58.434875,-34.600275,53547BAEcobici,ICONIC
10756709BAEcobici,839,2021-04-10 08:29:21 UTC,45BAEcobici,045 - Uruguay,561 Uruguay & Av. Tucuman,-58.3866934,-34.6018635,2021-04-10 08:43:20 UTC,242BAEcobici,103 - MALBA,3051 San Martin De Tours,-58.403214,-34.57716,573474BAEcobici,ICONIC
