Origen,Repeticiones
200 - AUSTRIA Y FRENCH,10
029 - Parque Centenario,10
014 - Pacifico,9
093 - CARLOS CALVO,9
086 - SAAVEDRA,8
030 - Peña,8
096 - Carlos Gardel,7
066 - Billinghurst,7
242 - Plazoleta Rafael del Riego,7
182 - RAVIGNANI Y GUATEMALA,7
255 - BARRANCAS DE BELGRANO,7
142 - Armenia y Gorriti,7
091 - Pasco,7
138 - Hospital Britanico,7
292 - PLAZA BOLIVIA,7
073 - Ruy Díaz de Guzmán,6
069 - Ecuador,6
276 - PRIMERA JUNTA,6
178 - José Marmol,6
260 - SAN MIGUEL DE GARICOITS,6
004 - Plaza Roma,6
352 - San Jose de Flores,6
095 - ESMERALDA,5
123 - BASUALDO Y RODO,5
153 - JUAN MANUEL DE BLANES,5
147 - Constitución,5
189 - POSADAS,5
256 - PLAZA NORUEGA,5
129 - Velasco,5
165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,5
146 - Hospital Francés,5
046 - Chile,5
065 - Julián Álvarez,5
134 - SOLDADO DE LA FRONTERA,5
272 - Plaza Bruno Giordano,5
297 - TRONADOR Y GARCÍA DEL RÍO,5
161 - Humahuaca,4
005 - Plaza Italia,4
022 - Arenales,4
017 - Plaza Almagro,4
350 - Plaza Irlanda,4
038 - Plaza Libertad,4
184 - Pedro Echague,4
008 - Congreso,4
391 - Plaza República de Ecuador,4
058 - Ministro Carranza,4
070 - ARAOZ,4
135 - MARCELO T. DE ALVEAR,4
162 - LARREA Y BARTOLOMÉ MITRE,4
025 - Plaza Guemes,4
273 - Plazoleta Colombia,4
080 - DOBLAS,4
082 - HOSPITAL ITALIANO,4
206 - Galicia,4
075 - Plaza Primero de Mayo,4
107 - HOSPITAL GARRAHAN,4
257 - Plaza Francisco Ramirez,4
374 - Puan,4
261 - QUINTEROS LIDORO,4
252 - Tamborini,4
188 - Aranguren,4
384 - PLAZA BENITO NAZAR,4
158 - VILLARROEL,4
281 - Villa Urquiza,4
240 - ECHEVERRIA,4
222 - SIMON BOLIVAR,4
117 - HUMBERTO 1°,3
381 - Matienzo Y Arce,3
111 - MACACHA GUEMES,3
018 - Independencia,3
171 - Pasteur,3
050 - Hospital Rivadavia,3
151 - AIME PAINÉ,3
131- HOSPITAL DE CLÍNICAS,3
270 - PLAZA DEL ANGEL GRIS,3
006 - Parque Lezama,3
194 - PERÓN Y ACUÑA DE FIGUEROA,3
243 - PLAZOLETA CELEDONIO FLORES,3
159 - Fitz Roy & Gorriti,3
104 - Federico Lacroze,3
027 - Montevideo,3
346 - Plaza Zapiola,3
125 - F.J.Santamaria de Oro,3
056 - Plaza Palermo Viejo,3
130 - RETIRO II,3
229 - RIGLOS,3
099 - Malabia,3
074 - INSTITUTO  LELOIR,3
089 - Cabello,3
136 - Acevedo,3
258 - Plaza J.J. Paso,3
396 - PLAZA ALBERTI,3
227 -Club Ciudad de Buenos Aires,3
349 - Plaza Saenz Peña,3
361 - Plaza Don Segundo Sombra,3
285 - ESPINOSA,3
150 - RODRIGO BUENO,2
179 - CASA SAN,2
016 - Legislatura,2
007 - OBELISCO,2
166 - Cementerio de Recoleta,2
103 - MALBA,2
186 - MANZANA 66,2
120 - HOSPITAL RAMOS MEJIA,2
118 - MEXICO,2
059 - Coronel Diaz,2
152 - JULIETA LANTERI,2
116 - HOSPITAL ALEMÁN,2
085 - AGUERO,2
076 - Ayacucho,2
163 - ONCE II,2
112 - 9 de Julio,2
167 - Hipólito Yrigoyen,2
223 - GAINZA,2
092 - Salcedo,2
191 - Rivadavia y 9 de Julio,2
365 - Venancio Flores,2
254 - Plaza Rafael Hernandez,2
101 - Fitz Roy,2
155 - Parque José Evaristo Uriburu,2
079 - AZUCENA VILLAFLOR,2
041 - Urquiza y Rondeau,2
168 - Estados Unidos,2
083 - Paraná,2
128 - PARQUE DEL BAJO,2
002 - Retiro I,2
221 - CULPINA,2
197 - PLAZA CIUDAD DE UDINE,2
187 - Jose Maria Moreno,2
121 - YATAY,2
113 - Guatemala,2
331 - CALIFORNIA,2
370 - Beauchef,2
280 - JURAMENTO,2
215 - HOSPITAL ALVAREZ,2
012 - Plaza Vicente Lopez,2
264 - Plaza Marcos Sastre,2
363 - Udaondo,2
237 - Madero Office,1
026 - JUANA MANSO I,1
023 - Suipacha,1
035 - INGENIERO BUTTY,1
108 - Usina del Arte,1
051 - TUCUMAN,1
244 - UADE,1
097 - Avelino Diaz,1
333 - MIRO,1
114 - DELLA PAOLERA,1
124 - UGARTECHE,1
156 - Plaza Alemania,1
137 - AZOPARDO Y CHILE,1
174 - MINISTERIO DE EDUCACION,1
132 - CORRIENTES,1
013 - ONCE,1
393 - Barrio 31,1
063 - Reconquista,1
049 - 33 Orientales,1
181 - BILLINGHURST Y MANSILLA,1
394 - Av. La Plata,1
275 - PLAZA 24 DE SEPTIEMBRE,1
001 - FACULTAD DE DERECHO,1
218 - Campana,1
009 - Parque Las Heras,1
330 - Parque Avellaneda,1
033 - Facultad de Medicina,1
032 - Catedral,1
149 - LIMA,1
064 - RIOBAMBA,1
144 - PUEYRREDÓN,1
094 - GÚZMAN,1
289 - MONTAÑESES,1
399 - GARCIA DEL RIO,1
045 - Uruguay,1
373 - Jorgelina De Simone,1
084 - Lavalle,1
140 - Las Casas,1
334 - CENTRO DE EXPOSICIONES,1
193 - ARENALES Y AGUERO,1
282 - Tronador,1
249 - Balbín,1
259 - PLAZA CASTELLI,1
336 - La Pampa,1
199 - ESTADOS UNIDOS Y BOEDO,1
340 - PLAZA NUEVA POMPEYA,1
204 - Biarritz,1
044 - Ecoparque,1
160 - Godoy Cruz y Libertador,1
251 - Solar de la Abadía,1
277 - Coghlan,1
203 - Beiro,1
